"gold","UMass","UCI","NPMI","C_A","C_P","C_V","words","rating"
"2","-2.2890533721","0.7822337258","0.0822727957","0.1856605678","0.3559071076","0.4903805863","5","bad"
"2.75","-1.881562873","2.1113155992","0.1851779377","0.3149524286","0.7248811267","0.5601107341","5","good"
"2.25","-1.150575938","1.700567927","0.1822864481","0.3850893819","0.5013834148","0.5347895937","5","bad"
"2.8","-1.4961705364","2.2476689559","0.2539864957","0.4697058451","0.7015152865","0.5945092848","5","good"
"2.75","-1.2593388796","1.7232428253","0.1796976201","0.3077611781","0.618910423","0.554711857","5","good"
"2.5","-1.1745697629","2.0039915004","0.2106526877","0.3349211605","0.6694673943","0.5913537234","5","bad"
"2.5","-1.2941290258","0.0533767493","0.0057900581","0.113371467","0.0798775274","0.4495729592","5","bad"
"2.75","-1.8874621432","0.7623178406","0.0743520189","0.1802318685","0.2811191074","0.4681257472","5","good"
"3","-1.304344109","1.5810240774","0.2123698516","0.4055784352","0.6410998167","0.6137054836","5","good"
"3","-2.3050430431","1.7920985906","0.1686447955","0.2793136298","0.6038306429","0.5128897768","5","good"
"1.5","-1.3067011162","0.6929194848","0.0983601762","0.2830825868","0.3398884266","0.4951779827","5","bad"
"1","-1.7081300648","0.4216619023","0.0494931815","0.1961327092","0.1842764369","0.4874679738","5","bad"
"3","-1.5787481514","2.5668151826","0.2699492394","0.4259469503","0.8584859676","0.7039938458","5","good"
"2","-1.4118576929","0.5930074274","0.0563817771","0.1506364119","0.3143986343","0.4682091607","5","bad"
"3","-1.7468071793","2.4561239451","0.2463541033","0.3842192035","0.860375271","0.6823812988","5","good"
"3","-1.9206474195","2.144778062","0.2158457477","0.341692405","0.6882674143","0.5547834623","5","good"
"2.25","-1.8989819936","1.1470836413","0.1142411867","0.2152721324","0.4182016368","0.4930707809","5","bad"
"2.75","-1.5545892145","0.8653855878","0.1117605524","0.2677381618","0.4107899532","0.499040492","5","good"
"1.25","-2.4717066564","0.1987537622","0.0259536073","0.1226271291","0.1485554271","0.4656309709","5","bad"
"2.5","-1.3471859827","2.4471710639","0.283292407","0.4777048776","0.5777585631","0.5849092075","5","bad"
"2.5","-2.0432366957","1.7145579089","0.1825147373","0.3280795583","0.5739556213","0.5105020418","5","bad"
"2.5","-2.0214322164","1.8808660516","0.2001872994","0.3406772421","0.5749850331","0.5776670057","5","bad"
"2.5","-1.2851380469","0.5731975564","0.0742490751","0.2027147602","0.2800058352","0.4725286889","5","bad"
"3","-1.4003401503","1.3896224517","0.1520814574","0.2738774103","0.5521811967","0.5294430536","5","good"
"1.75","-2.0882972225","1.2709864552","0.1296186809","0.2858021432","0.5354023878","0.5607699166","5","bad"
"2.75","-2.3235128038","1.0183046391","0.0991758876","0.1782278975","0.5921372035","0.5314027079","5","good"
"3","-1.1377870503","1.8482332956","0.2142200656","0.3795740056","0.6998595099","0.6073662638","5","good"
"2.25","-2.4156902054","0.9814494016","0.1008574521","0.2500155354","0.3863818974","0.5275541841","5","bad"
"3","-2.4480736859","2.0643439997","0.1621530265","0.2665105497","0.7345473888","0.5379092432","5","good"
"2.75","-2.0308268303","1.1393547311","0.1089456203","0.2089359601","0.4728321817","0.4885918867","5","good"
"3","-1.294074194","2.1481824983","0.2463520994","0.4221938902","0.8131922873","0.690597669","5","good"
"1","-2.2392306876","0.061076587","0.0045038172","0.0744240316","0.1216616294","0.4503904723","5","bad"
"2.6666666667","-2.2346270241","1.1067571979","0.0889040454","0.152414664","0.4305490428","0.4740899165","5","good"
"3","-1.1548210274","3.1255879395","0.3167824016","0.5025041794","0.9127801962","0.7635256788","5","good"
"3","-1.8002277603","1.6539395159","0.190177649","0.3750053963","0.6512256006","0.5934247024","5","good"
"2.25","-1.4442096441","3.0004469708","0.3128999051","0.4744336696","0.8262670615","0.6542524478","5","bad"
"1.5","-2.1605707821","0.2085366415","0.0278724049","0.1392146276","0.0995273949","0.4557141211","5","bad"
"2.8888888889","-2.2971818616","2.1915736747","0.2041126545","0.3318283511","0.758567755","0.5922926075","5","good"
"2.3333333333","-1.4663355762","0.8799220479","0.0709145318","0.1911187633","0.2928995449","0.459175333","5","bad"
"1","-2.2569860526","0.0634753892","0.0057896651","0.0950614561","0.135040471","0.4511745966","5","bad"
"2.3333333333","-3.7548463694","-1.2600777466","0.0100661793","0.1876207835","0.3357202399","0.4958534802","5","bad"
"3","-2.3125788226","1.1243232862","0.0972010615","0.1688677325","0.3824897321","0.4666932627","5","good"
"1.6666666667","-2.2518317593","0.5949778328","0.0891718265","0.2598012164","0.4506839441","0.4847809436","5","bad"
"2.3333333333","-3.5996963601","-2.9833440488","-0.0474567837","0.2043920134","0.4148795844","0.4945989008","5","bad"
"2.3333333333","-1.8105699904","1.6359796749","0.1488529521","0.2620093053","0.6419347895","0.5349758544","5","bad"
"3","-2.145093328","1.4967415481","0.1371956999","0.3191977162","0.5630002137","0.5147177001","5","good"
"3","-0.9204712786","2.0319983012","0.2562676965","0.4520116256","0.8174472919","0.7502908105","5","good"
"1.3333333333","-2.7348095524","-1.3095003377","-0.0486622538","0.1075061823","-0.0463110843","0.451784587","5","bad"
"2","-1.6918771108","0.2871428572","0.0262563518","0.0969206093","0.1091033719","0.4492462636","5","bad"
"2.5","-1.3486458451","0.7286318659","0.0746959193","0.1667862564","0.3466009242","0.4758068793","5","bad"
"1.25","-1.5929110392","-0.3605697559","-0.0312552889","0.0655001439","-0.0364522546","0.4494570806","5","bad"
"3","-1.9857968172","0.7545113922","0.0718022839","0.2187005885","0.3282417699","0.5072157182","5","good"
"1.75","-1.7361023","1.3612699774","0.1421059136","0.2536458757","0.4174995722","0.505320643","5","bad"
"2","-1.4867954927","-0.0901301787","-0.0062060149","0.0969996315","0.0644366189","0.4524301873","5","bad"
"1.6666666667","-1.4080524017","0.5625960157","0.0563085829","0.1320089051","0.3226267941","0.471160281","5","bad"
"1.3333333333","-1.3887929198","0.0172671796","0.0019774568","0.0692370435","0.0847574823","0.4503131457","5","bad"
"3","-2.7359996944","-2.2693340948","-0.0138489717","0.2443056323","0.5330343751","0.5515785079","5","good"
"2.3333333333","-2.384572431","1.289028173","0.1011838245","0.1979455751","0.4793803563","0.4741835909","5","bad"
"2.3333333333","-1.3436855956","0.0403247888","0.0037775926","0.0865642293","0.0872414026","0.4491514522","5","bad"
"3","-2.181037431","2.1967204538","0.1836871224","0.3672878401","0.7644150533","0.5903950128","5","good"
"3","-1.7478082198","1.6853012953","0.1676065894","0.2836176826","0.6045253964","0.5237289979","5","good"
"2.5","-1.6641994874","1.9645818362","0.2452622596","0.4910983725","0.7151994551","0.6331315334","5","bad"
"1.6666666667","-1.6500879167","0.6496831444","0.0672828978","0.1778726808","0.3222036231","0.490043356","5","bad"
"2.5","-1.8015907213","0.7237257004","0.0677499172","0.1363991198","0.3233615499","0.470348799","5","bad"
"3","-1.7798569304","2.2713371475","0.2157127367","0.3480521832","0.7729409464","0.6122255482","5","good"
"1.3333333333","-2.1220683713","0.1388800033","0.0175360205","0.1357660326","0.1513588656","0.4611916792","5","bad"
"2.25","-1.1021931351","2.6161101146","0.2291265508","0.3350007212","0.7537638196","0.5963941525","5","bad"
"2.75","-1.0326404551","1.9120709564","0.2221905634","0.3053396826","0.5894076398","0.5591775859","5","good"
"2.3333333333","-2.0997703681","0.5532524742","0.0561312095","0.1425873296","0.2910392161","0.4818291562","5","bad"
"3","-1.7311929923","1.9344169945","0.1855102863","0.318048904","0.6751981584","0.5584529829","5","good"
"1.6666666667","-1.8113679005","0.4401845345","0.0401451098","0.1317306552","0.2545485994","0.4607623616","5","bad"
"1.3333333333","-1.5655705091","1.7567703599","0.1918375217","0.2464747674","0.4743906126","0.5412781056","5","bad"
"1.6666666667","-2.3365835885","0.6807137852","0.0754176998","0.1906025163","0.2750429098","0.5085734916","5","bad"
"3","-1.7766755597","0.7226694658","0.0739139354","0.1613870019","0.3926604692","0.485608629","5","good"
"2.8","-1.7413201829","1.3167977328","0.1302046207","0.3473178712","0.4497747394","0.5233326051","5","good"
"1.4","-2.614591511","0.7922936033","0.0612607721","0.1209739595","0.3447393656","0.4656747809","5","bad"
"3","-1.9336393922","2.955061897","0.3017740451","0.4782371574","0.8295264852","0.6281476506","5","good"
"1.75","-1.8168252847","1.1764422173","0.2107610246","0.4444643718","0.6513506145","0.6108757653","5","bad"
"1.5","-1.9815569406","1.0231184044","0.0868228294","0.2075969699","0.3464785963","0.4829066696","5","bad"
"2.6666666667","-1.9912015716","1.0446458963","0.0844011324","0.1349356606","0.4287633923","0.4740735512","5","good"
"2.3333333333","-2.2157876657","1.4432576945","0.1230815499","0.2746357985","0.3977273328","0.5191247732","5","bad"
"3","-1.6429220621","1.3877935381","0.1386900118","0.2681657408","0.5475823909","0.5133177696","5","good"
"2","-2.3729285721","0.5522300988","0.1059567013","0.3120937138","0.1312189777","0.5462954288","5","bad"
"1.6666666667","-1.0761014783","0.3247598555","0.0360612934","0.1407418864","0.1867404711","0.4607898426","5","bad"
"1.6666666667","-1.6718990938","-0.8115729409","-0.0068039687","0.2655208238","0.1008067986","0.4552232923","5","bad"
"2.3333333333","-2.6997706093","1.1759898356","0.0898097039","0.1873842545","0.4750726151","0.4734419809","5","bad"
"1.4","-1.7820930621","-0.1798411118","-0.0127797067","0.0737115521","0.0359986277","0.4502168678","5","bad"
"2.2857142857","-3.5471641112","1.7899629038","0.1413772803","0.2838676773","0.4970053429","0.4981981241","5","bad"
"3","-1.9692727047","1.450014229","0.1470914674","0.4150344437","0.4282882488","0.597253863","5","good"
"1.5","-1.9029381956","0.4199302466","0.0374788325","0.1079694714","0.1583724832","0.4543129821","5","bad"
"1.3333333333","-1.5636186363","0.0354466051","0.0071750525","0.1578968311","0.1076010065","0.4587871837","5","bad"
"3","-1.7478293175","1.7695160629","0.1498344171","0.3125671382","0.6798497881","0.5384576943","5","good"
"2.3333333333","-1.6174250947","0.9069710665","0.0898064232","0.2083803234","0.3902842266","0.4930824087","5","bad"
"3","-3.103278295","-1.6026655924","-0.0269207438","0.2687173005","0.1937369793","0.4773453234","5","good"
"3","-2.0928757932","2.2996411964","0.2075361927","0.3125758315","0.7271837133","0.5512253561","5","good"
"1","-2.6363311116","-1.9286782694","-0.0636016869","0.1732138486","0.1207972325","0.4488593199","5","bad"
"3","-1.9979481323","2.4224621162","0.2377706432","0.3531713129","0.7924830276","0.6002992322","5","good"
"1.75","-1.4976812736","-0.3504906787","-0.0290489579","0.1611857538","-0.0191045859","0.4547363992","5","bad"
"2.8333333333","-2.0616011301","2.2547411413","0.2050287807","0.3973058584","0.7244420056","0.5739667105","5","good"
"2.6","-2.1460979529","1.415839296","0.1313002475","0.2225372293","0.5869997506","0.5230635947","5","good"
"2.75","-1.8953765643","1.5360928197","0.1614325077","0.3008283803","0.4790666516","0.5217784033","5","good"
"2.3333333333","-1.7015107758","0.9769838995","0.0923346593","0.2259713218","0.4256919739","0.4877473747","5","bad"
"2.3333333333","-1.5109140166","-0.0819500706","-0.0052236767","0.0947514662","0.0750666581","0.4551889551","5","bad"
"2.6666666667","-1.534607198","1.3518377443","0.1327593991","0.2464349696","0.464659785","0.5008972116","5","good"
"3","-1.4540388019","3.1328054315","0.2942718088","0.46235646","0.8769564109","0.6767866024","5","good"
"1.3333333333","-1.6924515833","-1.1548540528","-0.0402124606","0.1446298067","0.0555045503","0.4486606356","5","bad"
"3","-1.6346248757","2.4040735235","0.2052351698","0.3441096978","0.7901344251","0.5812814377","5","good"
"2","-1.794043559","1.3145997682","0.1248163932","0.2242338873","0.4849394546","0.4865496105","5","bad"
"1.3333333333","-1.575381796","0.0658588689","0.0061097086","0.0846453388","0.0687970066","0.4520484522","5","bad"
"3","-2.1279050841","1.1296499516","0.1205274711","0.2387045141","0.4408445304","0.5159066764","5","good"
"2.8","-1.9809084539","1.2736218444","0.1082792576","0.2710063929","0.5512094964","0.5106425957","5","good"
"3","-1.6015697486","2.6446570403","0.2544479482","0.4726103237","0.7728398327","0.5642983365","5","good"
"1.75","-1.9238325827","0.551610213","0.0489556209","0.1128082737","0.1860842357","0.4535867473","5","bad"
"2.3333333333","-1.3778653433","3.9558355426","0.3408496959","0.5092144434","0.9412672247","0.7164910447","5","bad"
"3","-1.6692612912","1.6232227679","0.1620041614","0.2766120054","0.652266695","0.5554160066","5","good"
"1.6666666667","-1.5506507953","-0.1937460818","-0.0117088546","0.1121084978","0.0490916648","0.4549178714","5","bad"
"2.3333333333","-1.3084852574","1.2440228632","0.1083523707","0.2702394818","0.5088200826","0.4910654414","5","bad"
"1.2","-2.4314627794","-3.5268735512","-0.1244189776","0.2019041418","0.0043436116","0.4545493077","5","bad"
"2.5","-3.2023057685","1.2894003888","0.1221020079","0.2418294767","0.312288015","0.5144136807","5","bad"
"3","-2.8895673815","2.6324963203","0.2173434294","0.3683219603","0.8246478263","0.5939126551","5","good"
"3","-2.2712918944","1.9082321588","0.1757284478","0.276681631","0.7006459113","0.5630579812","5","good"
"1","-3.227295036","-1.5799508297","-0.0063843507","0.2950885279","-0.050804829","0.6032143327","5","bad"
"2","-1.3462120938","0.1771539233","0.0186981557","0.1504599492","0.1901411318","0.4629666036","5","bad"
"3","-2.887050688","1.6389007349","0.1714363049","0.324458215","0.8361517375","0.5901345637","5","good"
"2.3333333333","-1.6747465843","0.0954286861","0.0109192608","0.1037539598","0.1255364977","0.4575311159","5","bad"
"2.3333333333","-4.0003401654","-1.8852178378","-0.0536890554","0.1577405157","0.1968570712","0.4547238782","5","bad"
"2.3333333333","-7.1505721706","-2.7081441224","-0.0529263991","0.1294454974","0.0931179761","0.599555568","5","bad"
"2.3333333333","-2.1033795573","0.5728477409","0.051893376","0.1543798623","0.2407806312","0.4554973251","5","bad"
"2.6666666667","-2.7657865938","0.6083299717","0.052511562","0.1109919651","0.2841092486","0.4762584734","5","good"
"1.6666666667","-2.2979288486","1.2251677727","0.1054046267","0.172871627","0.3927078817","0.4686816467","5","bad"
"3","-1.9981173838","1.0009995464","0.0880795797","0.1554413627","0.3848563178","0.4727556931","5","good"
"2","-1.3943926035","-0.0534268482","-0.0033609526","0.1070851338","0.0669720856","0.4499254717","5","bad"
"2.3333333333","-1.7015208016","0.7342903986","0.0605323576","0.1092883664","0.28880209","0.4568002671","5","bad"
"3","-1.8239822451","1.4094693454","0.1332059366","0.2587047108","0.5078789331","0.4970350886","5","good"
"1","-1.5721762808","0.1199701331","0.0114968926","0.1108927897","0.0785013159","0.4487214018","5","bad"
"3","-1.8534892256","2.4994175665","0.231093139","0.3881545073","0.74120635","0.5797444179","5","good"
"1.2","-2.1251054134","-0.2751027023","-0.020689238","0.0815585525","0.010998851","0.4497916412","5","bad"
"3","-1.43886163","3.0067550866","0.2974210455","0.4841102747","0.9162204624","0.7473384149","5","good"
"2.75","-1.4877353747","2.4846577406","0.2244405183","0.3701506441","0.6910390418","0.6475367302","5","good"
"1","-1.1004250655","-0.2269868101","-0.0220173977","0.0667478798","0.0146343023","0.4487868385","5","bad"
"1.75","-1.4163824429","0.2404888742","0.0216239353","0.0971499335","0.2015612017","0.454468848","5","bad"
"2.75","-1.6500383141","1.3587975264","0.1358753511","0.2927762033","0.4388250625","0.4945025339","5","good"
"3","-1.5377659724","1.8203996299","0.2068742762","0.3887385158","0.6881433178","0.6030303985","5","good"
"3","-2.3122294489","2.9950196833","0.2518460283","0.4211929249","0.8801154287","0.6411746597","5","good"
"3","-1.5737989891","2.2975215156","0.2098357572","0.3729400589","0.6399264054","0.548564925","5","good"
"1.6666666667","-1.9945004798","0.2535485711","0.0202622954","0.0808458363","0.1268479444","0.4507113511","5","bad"
"3","-2.1521330759","1.1959823627","0.1062507483","0.1818114426","0.3920798202","0.4671217734","5","good"
"1","-2.7770615086","-0.0719129187","-0.0032366617","0.0968112092","0.0043961287","0.4483587936","5","bad"
"2","-2.5182986266","0.2681627468","0.0267975217","0.1130441159","0.1866080364","0.4712514036","5","bad"
"3","-1.6526160495","2.8737351939","0.2857312762","0.5048420474","0.8755702328","0.6924781078","5","good"
"3","-2.5699613689","2.4786219235","0.2483626909","0.3821350159","0.803114206","0.6391701549","5","good"
"2","-1.4100130672","-0.2071612252","-0.0178474425","0.0811780175","0.0257569438","0.4512665561","5","bad"
"3","-2.1879960929","2.0925894101","0.1937433487","0.3106454008","0.7262077382","0.5686947445","5","good"
"2.8","-1.6157957474","1.2200166013","0.1203647783","0.2345876878","0.5229384245","0.5072557769","5","good"
"2.3333333333","-2.1990889278","0.8957580074","0.0830421678","0.1493313789","0.2707012943","0.4586755618","5","bad"
"2","-1.4693899148","0.0975044589","0.0909748237","0.2471206675","0.4917020536","0.5468367151","5","bad"
"2.75","-2.1376559926","0.4855558804","0.0422633686","0.1131927589","0.1931992147","0.4535281969","5","good"
"2","-1.7159226098","0.0693486167","0.0115847601","0.137343642","0.1437726236","0.4677772983","5","bad"
"2.5","-1.652300891","0.9378819752","0.083933493","0.1472842199","0.3245199784","0.4637705401","5","bad"
"2","-1.4936025393","-0.0829578725","-0.0069122757","0.1463990631","0.0905206721","0.4533159292","5","bad"
"2","-1.9856906459","1.451018211","0.1305850162","0.2668905751","0.4899745049","0.5166156554","5","bad"
"1.6666666667","-1.2161062656","1.9376579079","0.1803136639","0.3388275799","0.5303728201","0.5673375931","5","bad"
"2.25","-3.3269538877","1.0064171276","0.0885405962","0.1862407984","0.5081176336","0.4783813285","5","bad"
"3","-1.9452483361","0.7966105454","0.0731538884","0.1852995899","0.3433140271","0.4929642292","5","good"
"3","-2.2751417378","3.0270223152","0.2595179687","0.4211455779","0.817859166","0.5893888897","5","good"
"1.75","-1.8908393476","-0.1150293432","-0.0078757418","0.1013797019","0.1002420412","0.454839836","5","bad"
"3","-2.0919899141","1.80206599","0.1537356915","0.3129544475","0.673852101","0.5621694771","5","good"
"2.6666666667","-3.652468999","-3.2661411777","-0.066413366","0.1729389601","0.2966286503","0.5412426979","5","good"
"1","-1.6256723469","-0.0338653813","-9.53E-004","0.0874317783","0.046674448","0.4489201296","5","bad"
"1.6666666667","-2.9940125496","-0.4618437894","0.0718409225","0.3465176527","0.3278771708","0.5830769143","5","bad"
"3","-2.0458767081","1.3777632446","0.1265833464","0.2693344158","0.5045742963","0.5080714643","5","good"
"2","-1.8146017866","0.9127372512","0.084424622","0.2156434548","0.4439937909","0.4831732167","5","bad"
"3","-2.6452757472","3.4659315936","0.3594092253","0.4664265291","0.8859990282","0.6692668743","5","good"
"3","-1.7889531387","1.0254068607","0.1558345814","0.3489150937","0.3460513696","0.565666838","5","good"
"2.7142857143","-1.2017006515","4.4126450668","0.4042820842","0.5414558507","0.9339174706","0.7968425466","5","good"
"3","-2.0382186515","2.7630213617","0.2531208672","0.3711480787","0.8791113597","0.6816222625","5","good"
"2.3333333333","-2.5933321387","0.679940169","0.0574810135","0.1319305351","0.3248232104","0.4662642444","5","bad"
"2.75","-1.2135766068","4.8042983319","0.4260793808","0.6514223463","0.9694474622","0.7976706538","5","good"
"2.2","-1.5488131553","0.1717427139","0.0159643672","0.0856389117","0.1705857324","0.4689246062","5","bad"
"2.6666666667","-2.912025059","-0.8028744254","0.0397227233","0.2721118494","0.3860494165","0.5228761312","5","good"
"1.25","-0.929791602","0.451496851","0.0499926055","0.15431595","0.152380336","0.4531069175","5","bad"
"3","-1.1252829685","1.7868395725","0.2092737618","0.3798331984","0.6817820904","0.6063076086","5","good"
"2.3333333333","-2.6363935235","2.2796148206","0.2025753029","0.2910539447","0.7905928894","0.6335063268","5","bad"
"1.5","-1.365276879","0.0360689269","0.001899775","0.0795175849","0.0719454101","0.4508090527","5","bad"
"3","-1.6922064695","2.2931420752","0.1978118269","0.366120709","0.7726168387","0.569890182","5","good"
"3","-1.611974703","1.1246115407","0.0983944836","0.2798149169","0.3844456525","0.4921701152","5","good"
"2.3333333333","-1.4519118495","0.2690568365","0.0254636439","0.0974205138","0.2003037322","0.4578030946","5","bad"
"2.6666666667","-1.2008076983","1.452355959","0.1695658094","0.3506637225","0.6604985682","0.6239653957","5","good"
"3","-1.5836671441","2.7375290333","0.2726061824","0.4271901652","0.8816354583","0.7059180773","5","good"
"2.5","-1.602677034","0.255758543","0.0839905835","0.3204095059","0.408514534","0.5324611605","5","bad"
"2","-2.5018442088","2.6625674425","0.2166603315","0.2941756794","0.7703849887","0.5881793342","5","bad"
"2.75","-1.1776988431","1.9288061624","0.1843214656","0.369391447","0.6733935371","0.5364223943","5","good"
